player_id,Name,Sex,Age
4999,Kirk Blaine Allen,M,20
5000,Kirk Blaine Allen,M,20
5010,Lisa-Marie Allen,F,19
5036,Roger Allen,M,19
5037,Roger Allen,M,19
5038,Roseanne Allen,F,17
5039,Roseanne Allen,F,17
5041,"Scott Ethan ""Scotty"" Allen",M,14
5046,Wendy Irene Allen,F,23
5047,Wendy Irene Allen,F,23
5053,"Theodor ""Theo"" Allenbach",M,23
5054,"Theodor ""Theo"" Allenbach",M,23
5063,Patricia Kim Alletson,F,17
5066,"Steven James ""Steve"" Alley",M,22
5100,Yves llig,M,19
5103,Karl Ruben Allinger,M,32
5125,Steve Allman,M,23
5132,Fernando Alloni,M,22
5173,Eivor Matilda Alm (-Astergren),F,27
5174,Ernst Alm,M,23
5176,Juha Henri Alm,M,28
5223,"Joseph Michael ""Joe"" Almasian",M,26
5224,Zsuzsa Almssy,F,13
5225,Zsuzsa Almssy,F,17
5226,Zsuzsa Almssy,F,21
5227,Peter Almasy,M,27
5228,Peter Almasy,M,30
5232,"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,25
5233,"sa Annelie Charlotte ""Lotta"" Almblad (-Lindefors)",F,29
5279,Aleksandr Davletovich Almetov,M,20
5280,Aleksandr Davletovich Almetov,M,24
5300,Alexei Almoukov,M,19
5301,Alexei Almoukov,M,19
5302,Alexei Almoukov,M,23
5303,Alexei Almoukov,M,23
5308,Gte Augustin Almqvist,M,30
5330,Pekka Juho Kustaa Alonen,M,23
5331,Pekka Juho Kustaa Alonen,M,23
5332,Pentti Johannes Alonen,M,22
5333,Pentti Johannes Alonen,M,22
5334,Pentti Johannes Alonen,M,22
5335,Pentti Johannes Alonen,M,26
5336,Pentti Johannes Alonen,M,26
5337,Pentti Johannes Alonen,M,26
5338,Pentti Johannes Alonen,M,30
5339,Pentti Johannes Alonen,M,30
5340,Pentti Johannes Alonen,M,30
5374,Nstor Alonso Casajuana,M,26
5380,Kseniya Alekseyevna Alopina,F,21
5400,Luc Alphand,M,22
5401,Luc Alphand,M,22
5402,Luc Alphand,M,22
5403,Luc Alphand,M,26
5404,Luc Alphand,M,26
5405,Luc Alphand,M,28
5406,Luc Alphand,M,28
5421,Thomas Alsgaard (Alsgrd-),M,22
5422,Thomas Alsgaard (Alsgrd-),M,22
5423,Thomas Alsgaard (Alsgrd-),M,22
5424,Thomas Alsgaard (Alsgrd-),M,26
5425,Thomas Alsgaard (Alsgrd-),M,26
5426,Thomas Alsgaard (Alsgrd-),M,26
5427,Thomas Alsgaard (Alsgrd-),M,26
5428,Thomas Alsgaard (Alsgrd-),M,26
5429,Thomas Alsgaard (Alsgrd-),M,30
5430,Thomas Alsgaard (Alsgrd-),M,30
5431,Thomas Alsgaard (Alsgrd-),M,30
5461,Robert Alt,M,29
5474,Altangadasyn Sodnomdarjaa,M,24
5475,Altangadasyn Sodnomdarjaa,M,24
5478,Alfred Altenburger,M,24
5482,"Jennifer ""Jenny"" Altermatt",F,19
5483,"Jennifer ""Jenny"" Altermatt",F,19
5485,Katharina Althaus,F,17
5502,Livia Altmann,F,19
5503,Mario Altmann,M,27
5514,Jeannette Eleanor Altwegg (-Wirz),F,17
5515,Jeannette Eleanor Altwegg (-Wirz),F,21
5527,Ilmar Aluvee,M,24
5565,"Eduardo C. ""Eddy"" Alvarez",M,24
5566,"Eduardo C. ""Eddy"" Alvarez",M,24
5567,"Eduardo C. ""Eddy"" Alvarez",M,24
5568,"Eduardo C. ""Eddy"" Alvarez",M,24
5650,Roberto Adolfo Alvrez Hojel,M,28
5651,Roberto Adolfo Alvrez Hojel,M,28
5652,Roberto Adolfo Alvrez Hojel,M,28
5653,Roberto Adolfo Alvrez Hojel,M,32
5654,Roberto Adolfo Alvrez Hojel,M,32
5655,Roberto Adolfo Alvrez Hojel,M,32
5656,Roberto Adolfo Alvrez Hojel,M,32
5691,Reidar Jakob Alveberg,M,35
5692,Reidar Jakob Alveberg,M,39
5693,Albino Alver,M,28
5694,Eleonora Alver,F,23
5695,Fabio Alver,M,46
5696,Giorgio Alver,M,32
5697,Giorgio Alver,M,32
5698,Isidoro Alver,M,18
5699,Michele Alver,M,22
5700,Renzo Alver,M,23
5701,Renzo Alver,M,23
5702,Silvio Alver,M,26
5703,Silvio Alver,M,26
5704,Silvio Alver,M,26
5705,Silvio Alver,M,30
5706,Silvio Alver,M,30
5707,Silvio Alver,M,30
5760,Anatoly Nikolayevich Alyabyev,M,28
5761,Anatoly Nikolayevich Alyabyev,M,28
5762,Anatoly Nikolayevich Alyabyev,M,28
5780,Ivan Vladimirovich Alypov,M,23
5781,Ivan Vladimirovich Alypov,M,23
5782,Ivan Vladimirovich Alypov,M,23
5791,Ccile Alzina,F,24
5792,"John C. Amabile, Jr.",M,29
5793,"John C. Amabile, Jr.",M,31
5794,"John C. Amabile, Jr.",M,35
5842,Else Amann,F,32
5843,Else Amann,F,32
5845,"Richard ""Rick"" Amann",M,31
5846,"Richard ""Rick"" Amann",M,33
5849,Shin Amano,M,24
5852,Ingrda Amantova,F,19
5853,Ingrda Amantova,F,23
5854,Baptiste Amar,M,22
